title,text,commentary,locality,category,label
"Sorošov výber, hovorí Fico o nových ministroch. Matovič prirovnal šéfa Smeru k Hitlerovi","Poslanci zasadli po letnej prestávke opäť v parlamente. V utorok boli v pláne dve schôdze. Na prvej z nich majú hlasovať o návrhu na odvolanie ministra vnútra Romana Mikulca z OĽANO, ktorý podal Robert Fico zo strany Smer-SD. Druhá schôdza sa má zaoberať návrhmi nových zákonov, rokovať majú aj o energiách. Politici sa opäť nevedeli udržať a nechali svoje emócie vyplávať na povrch. rokovacou sálou sa rozozneli ostré slová a nadávky. Fico nazval najpr vyšetrovateľov korupčných prípadov ""lumpami"" a Mikulcovi vytkol, že ich v NAKA povýšili. Pri týchto vyjadreniach na Fica pokrikoval z pléna poslanec OĽANO Jozef Pročko. K téme sa vyjadril aj Igor Matovič, ktorý predniesol stanovisko vlády. V ňom nazval členov strán Smer a Hlas mafiánmi. ""Henten ha*zel, čo tu stál, je novodobý Hitler"", vyjadril sa o Ficovi a nazval ho špinavcom. Za to si vyslúžil pokrikovanie zo strany opozície. Ku koncu svojho príhovoru nazval Fica ""zm*dom"" a prihovoril sa k politikom z SaS. Nabádal ich, aby si uvedomili, na ktorej strane histórie budú stáť. Následne sa prihovoril poslancom minister Mikulec. Fica a opozičníkov prirovnal ku ""zverom a hyenám"", ktoré počas pandémie ťahajú ľudí na zhromaždenia na námestiach. Na tlačovej konferencii Roberta Fica, ktorá sa uskutočnila pred schôdzou parlamentu, sa vyjadril aj k novým ministrom. Podľa neho je to ""Sorošov výber"". Servítku si pred ústa nedal ani pri vyjadreniach k Matovičovi a k Richardovi Sulíkovi z SaS. ""Najhoršia je kombinácia blázna a decka. A to máme dnes koncentrované vo vláde Slovenskej republiky"",povedal.",False,SK,politics,1
"Premiér Heger uviedol nových ministrov Káčera, Karasa a Hirmana do rezortov","Predseda vlády Eduard Heger (OĽANO) uviedol v utorok popoludní nových ministrov do ich rezortov. Informovali o tom z tlačového a informačného odboru Úradu vlády SR. Premiér podotkol, že nových ministrov koalícia nevyberala podľa straníckeho kľúča. ""Chceli sme, aby v čase energetickej krízy a vojny na Ukrajine na uvoľnené posty nastúpili odborníci, ktorí dokážu hneď od prvého dňa podávať maximálny a profesionálny výkon,"" dodal. Prezidentka SR Zuzana Čaputová vymenovala nových ministrov v utorok predpoludním. Heger uviedol popoludní do rezortu najskôr ministra zahraničia Rastislava Káčera. Potom šéfa rezortu spravodlivosti Viliama Karasa a ministra hospodárstva Karla Hirmana. Napokon premiér navštívil ministerstvo školstva, ktorého dočasným vedením ho prezidentka poverila.",False,SK,politics,1
"Prokurátor GP podal žalobu pre názov ulice Dr. Jozefa Tisu vo Varíne","Prokurátor Generálnej prokuratúry (GP) SR podal žalobu na žilinský krajský súd pre názov ulice Dr. Jozefa Tisu v obci Varín v okrese Žilina. Urobil tak potom, čo obecné zastupiteľstvo nevyhovelo protestu prokurátora, ktorý navrhol zrušiť alebo zmeniť názov ulice pomenovanej po prezidentovi vojnovej Slovenskej republiky. GP o tom informuje na svojej webovej stránke. Poslanci varínskeho obecného zastupiteľstva v júli nevyhoveli protestu prokurátora. Za hlasovala jedna poslankyňa. Prokurátor GP Peter Mihál vtedy avizoval, že žalobu pravdepodobne podajú. ""Bude to však ešte predmetom zvažovania na základe podkladov, ktoré nám pošlú zo zastupiteľstva,"" konkretizoval. Problematiku okolo názvu ulice otvorila vlani obecná poslankyňa Lenka Ticháková. Jej návrh, aby ulicu premenovali, kolegovia poslanci neodsúhlasili. Tento krok kritizoval Ústredný zväz židovských náboženských obcí, na premenovanie ulice zastupiteľstvo vyzval aj Slovenský zväz protifašistických bojovníkov.",False,SK,politics,1
"Konflikt v hokejovom zväze kvôli Rusku eskaluje, Handzuš zložil funkciu","Michal Handzuš v utorok odstúpil z pozície člena Výkonného výboru Slovenského zväzu ľadového hokeja (SZĽH) v dôsledku rozhodnutia nezakázať hráčom z KHL reprezentovať. Bývalý hokejový reprezentant sa nebude podieľať ani na ďalších aktivitách zväzu, napísal v liste všetkým klubom. ""Počnúc dnešným dňom odstupujem z pozície člena Výkonného výboru SZĽH a zo všetkých jeho ďalších aktivít. Dôvodom môjho rozhodnutia je prijatie stanoviska VV ohľadom možnosti reprezentovania Slovenskej republiky hráčom z KHL. Ako som komunikoval aj na zasadnutí VV, je to pre mňa hodnotová otázka a preto si neviem ďalej predstaviť moje ďalšie pôsobenie pri takomto smerovaní organizácie. Vízia, ktorú som prišiel do SZĽH napĺňať, bola urobiť z nej vzorovú organizáciu 21. storočia. Po štvrtkovom zasadnutí, už ja osobne, nevieme v tejto vízii ďalej pokračovať. Som rád, že žijeme v demokracii, takže samozrejme rešpektujem výsledok hlasovania z posledného zasadnutia. Demokracia ale znamená aj to, že je moja slobodná vôľa, či toto väčšinové rozhodnutie VV budem osobne napĺňať, alebo nie. Ako píšem, za týchto okolností nevidím možnosť, ako by som mohol, a preto odchádzam."" píše sa v liste.",False,SK,sports,1
"MUDr. IGOR BUKOVSKÝ O SÚČASNEJ SITUÁCII A NÁSLEDKOCH PRIMITÍVNYCH OPATRENÍ SATANOKRACIE (+Poznámka Biblik)","MUDr. IGOR BUKOVSKÝ O SÚČASNEJ SITUÁCII A NÁSLEDKOCH PRIMITÍVNYCH OPATRENÍ SATANOKRACIE: https://www.youtube.com/watch?v=uZSmiXcfvkc Poznámka Biblik: možno, také osobnosti ako Zuzana Č., Igor M., Jaroslav N., Richard S., Eduard H. a ďalší sa boja neuposlúchnuť. Na výber je participovať aspoň formálne na likvidácii štátu, ktorí vlastne nikdy ani takíto nemohli riadiť. Možno - v prípade neuposlúchnutia krokov vedúcich k deštrukcii štátu by to pre nich znamenalo ohrozenie samých seba, do čoho ich vlastne diabol tlačí aj tak, pretože takto tiež ohrozujú samých seba - pokoj a mier na Slovensku i vo svete je v ohrození aj preto, že hrajú špinavú hru s diablom a je jedno, že sú navonok kresťania, veď aj známy vojnový štváč, ktorý pomáhal topiť svet v podvodoch a krvi - koryfej havlovania George Bush ml. bol vraj kresťan... Čo ak by nejaký politik neposlúchal a postavil by sa proti diablovi? O ich škandáloch s drogami, prostitútkami a podvodmi sa vie. V prípade napr. anglických vysokopostavených politikov jeden investigatívny novinár vypátral, že sa dosadzujú na svoje posty práve preto, že majú nejaký vážny utajený škandál z minulosti alebo nejakú sexuálnu úchylku. A takýto človek je potom vlastne schopný čohokoľvek, pretože v prípade odhalenia mu hrozí istým spôsobom spoločenská likvidácia. Viac tu: https://www.biblik.sk/news/mudr-igor-bukovsky-o-sucasnej-situacii-a-nasledoch-primitivnych-opatreni-satanokracie/",True,SK,Politics,0
"Drogové bandy, takmer výlučne islamské a radikálni islamisti, kopú hrob Francúzsku","Vo Francúzsku je situácia hrozivá a zhoršuje sa naďalej. Aká ale je naozaj, o tom mlčia systémové médiá v Nemecku, Rakúsku a v ďalších EÚ štátoch – SR nevynímajúc Francúzski policajti Ilustračné foto 5. mája bol v Avignone pri zatýkaní jedného drogového dílera zastrelený 36-ročný policajt, Eric Masson otec dvoch detí. Pred niekoľkými dňami sa konala spomienková slávnosť na jeho počesť i na ďalších mŕtvych v Avignone, ktorí sa stali obeťami zločinov drogových dílerov, migrantov a islamistov. Iný prípad – v predmestí v Saint-Etienne sa obyvatelia jedného domu sťažovali polícii na neznesiteľný hluk vo večerných hodinách v blízkosti domu. Keď prišla policajná hliadka, tak jedného z policajtov odrazu zasiahol do hlavy ťažký predmet, priamo do spánkov. Odvtedy 50-ročný otec dvoch detí je v kóme. Páchatelia ušli. Podobných prípadov je vo Francúzsku nespočetné množstvo. Predstavitelia francúzskych bezpečnostných orgánov sa pokúšajú už mesiac o stretnutie s prezidentom Macronom, zatiaľ bezvýsledne. Celé mestské štvrte sú pod kontrolou drogových bánd, ktoré o.i. pomáhajú financovať radikálny islamizmus a jeho aktivity. Tieto bandy sú už rozšírené po celom Francúzsku a sú veľmi dobre organizované a vybavené aj zbraňami a nemajú pred ničím strach. Polícia odhaduje (ani ona to nevie presne), že viac ako 600 mestských časti vo francúzskych mestách je plne v rukách nebezpečne vyzbrojenej drogovej mafie. Policajti sú pre nich nepriatelia, ktorých treba likvidovať. Michel Thoris, generálny tajomník francúzskych policajných odborov vyhlásil niečo, čo je pre toho, kto nepozná bližšie situáciu vo Francúzsku, takmer absurdné a  nepochopiteľné: ""Už dnes je u nás občianska vojna takpovediac všade prítomná. Každý deň sú niekde moji kolegovia napadnutí drogovými teroristami. Tí vo veľkej väčšine sú prepojení s radikálnymi islamistami a financujú džihádistické štruktúry vo Francúzsku. Vláda musí konečne konať. Už predsa nemôžeme ďalej znášať, že každých 12 dní sú nejakí kolegovia zastrelení drogovými teroristami."" A to v tomto prípade Thoris hovorí len o Avignone, o meste, ktoré bolo v 14. storočí najväčším centrom európskeho katolicizmu a bolo aj mestom francúzskych pápežov. Teraz v srdci tohto historického mesta prekvitá obrovský biznis s drogami, o ktorom sa všade vie. Michel Thoris ešte poznamenáva: ""Ak  vo Francúzsku nejaké auto prerazí policajné zátarasy, tak máme zakázané strieľať a nesmieme ho ani prenasledovať. Preto sme proti drogovým  teroristom  bezmocní. Vláda sa obáva zranených a mŕtvych a toho, čo by to malo za následky. A tak, alebo sa pokúsime opäť presadiť zákon, alebo Francúzsko sa zrúti do chaosu a tento štát, ako sme ho poznali po druhej svetovej vojne, prestane existovať."" Podľa nedávneho prieskumu by až 40 percent francúzskych policajtov volilo za hlavu štátu Marine Le Penová.",False,SK,politics,0
"Protipandemické opatrenia neboli o zdraví, ale o upevnení moci vládcov sveta – Peter Sabela","Odchádzajúci Fauci to povedal na plnú pusu. Išlo o jeden zo spôsobov manipulácie, ktoré sa momentálne hromadne využívajú, najmä vďaka vláde médií. Dugin opisoval vo svojich knihách okultné praktiky dnešnej elity, preto zomrela jeho dcéra. Putina ani nepoznal. 700 tisícovú armádu Zelenského budovali osem rokov, vyzbrojovalo ju 40 krajín. Rusi sa nehrnú do útoku, čakajú na zimu. Energetická chudoba bola dávno pripravovaná, aby pomohla depopulácii. Cez vakcinácie sa znížila prirodzená imunita, teraz nastane chlad, podvýživa a nedostatok hygieny. Všetko zapadá do seba, Ešte treba zlikvidovať výrobu. Po konci vojny bude posilnený americký zbrojný priemysel a porazená Európa vydaná napospas Amerike. Vozidlá bojovej techniky, ktoré kupujeme sú dobré akurát na rozháňanie demonštrantov. Zaujímavé je, že rôznych teroristov, ktorí zasahujú do boja cvičia v Česku. Česko sa tak môže dostať na zoznam teroristických štátov a Naď by pre nás chcel prichystať takúto budúcnosť. Bulhari to už vyriešili, zvrhli vládu ospravedlnili sa Rusom a plyn za normálnu cenu majú zaručený.",True,SK,politics,0
"Liberálna demokracia je ešte horšia, než to čo tu už bolo – Andrej Danko","Chýba nám identifikacia štátu. Západ už dosiahol svoje, my sme kolónia západu. Prezidentka bola vtlačená do paláca len vďaka propagande. Kto chce ovládať ľudí, nájde si základné témy, na ktorých sa dá rozdeliť národ. Je to tak od čias Ríma. Osoliť sa to dá pár Judášmi. Víťaz tejto vojny je za morom. Euro od jej začiatku prudko kleslo. Ak sa zruší právo veta, ak sa začnú hádať európske národy rozpadne sa EÚ. U nás nemajú čo robiť cudzí vojaci. Naši im div neslúžia. My nevieme, kam dala táto vláda 13 miliárd za dva roky. Na PR potrebujete veľa peňazí. Táto vláda zrušila všetko, čo bolo o transparentnom sledovaní financií. Nenávisť Fica a Pellegriniho je nebezpečná a po voľbách bude ešte horšie. Ak nás bude systém nútiť iba splácať a šetriť, byť bez akéhokoľvek vlastníctva, spejeme do otroctva pod plnou kontrolou štátu. Západný systém je úplne bezcitný. Jediná cesta z tohto marazmu sú ľudia, ktorí pri voľbách nezlyhajú.",True,SK,politics,0
"Toto je znásilnenie Slovenska. Američanom vyhovuje, že takáto vláda je na čele Slovenska – Ľuboš Blaha","Oni sa nemôžu rozpadnúť. Nič už nevlastníme,všetko je rozobrané Američanmi, nadnárodnýmispoločnosťami, bankami...Správajú sa akogestapo, ale hlavne, že dodávame zbraneZelenskému. Lenže sú aj krajiny, ktoré si dokážu ajv týchto časoch ochrániť voju suverenitu. Pokiaľprestaneme s tou rusofóbiou a podporouukrajinských fašistov urobíme pre mier viac. Akosa mohli úplne vykašľať na dôchodcov?Banderovci boli horší než fašisti. Dnes sme sadostali do situácie, že liberáli chcú brať sloboduvšetkým, ktorí sa nestotožňujú s ich názorom, Jeto liberálny fašizmus. Každý názor musí byťvypočutý. Nikde už neplatí jedna pravda. Už ani tovymývanie mozgov nemá kultúru. Takto savyberajú ľudia do politických relácií. Lojzo Čistič-Roman Mikulec robil v Slovnafte a potom tam idevyjednávať Matovič. Oni sú všetci poprepájaní.Igor kvôli svojej nespôsobilosti a svojim osobnýmveciam sťahuje celé Slovensko na dno. Slovenskomusí ísť tvrdo proti nim. Nemáme tradíciua kultúru zhromažďovania. Profesionálnimajdanisti vedia osloviť mladých. Teraz je tu TomNicholson, čakám, čo bude. Aká náhodička, že saLipšic už dávno pozná s kajúcnikom Slonodníkom.Špeciálna prokuratúra, to je kolektívny Lipšic Nažiadosť Naďa sa prerokovával slovenský facebook,no sláva. Ukrajina celé roky bola otvorená aj navýchod aj na západ. Postaviť proti sebe dvaslovanské národy vyhovuje Američanom. Teraz tubudeme mať amerických okupantov. Nie ruských.Rozdiel?",True,SK,politics,0
"Američania našli na Slovensku užitočných idiotov – Andrej Danko","Zelené témy zrazu pri udeľovaní sankcií zanikli. Na konci dňa sa spustí Nordstream. Sankcie majú aj iné pozadie Slováci otvorte oči. Orbán bude mať veľké problémy s EÚ. Kde je spôsobilosť našich ozbrojených síl? 12 miliárd sa stratilo, to je obrovská sila. Dnes stačí nadávať na predchádzajúcu vládu, požičiavať si peniaze od zahraničných bánk. Niekomu vyhovuje, že štáty sa zadlžujú, lebo potom sa ľahšie ovládajú. Médiá dnes určujú, kto má pravdu. Komu tým prospejeme? Nám? Nie. Na Slavíne boli pripravení provokatéri, ktorí nehovorili po Slovensky. Keď chceš vedieť pravdu, vyvolaj konflikt. Týmto sa riadia mnohí politici. Najmä Matovič. Úplne sa mení politický boj. To je rozbíjanie systému, oslabovanie štátu, na čelo, ktorého sa potom dostanú ľudia bez názoru, ktorí radi slúžia. Ak bude Brusel ako parný valec, budú ľudia hovoriť čoraz častejšie o vystúpení z EÚ. Potrebujeme viac národnej hrdosti.",True,SK,politics,0
